Год,Прекращено за примирением с потерпевшим,Прекращено судебный штраф,Прекращено по другим основаниям,Лишение свободы,Условное осуждение к лишению свободы,Наказание назначено ниже низшего предела: лишение свободы,Оправдано,Штраф
2010,446,0.0,9,369,987,2,1,9
2011,441,0.0,17,361,991,9,2,12
2012,127,0.0,29,169,323,12,0,2
2013,43,0.0,11,266,170,19,0,4
2014,164,0.0,3,300,297,25,2,8
2015,520,0.0,10,461,564,32,1,8
2016,573,0.0,21,544,602,49,1,14
2017,689,70.0,17,534,540,48,0,5
2018,703,220.0,5,537,536,46,3,12
2019,753,386.0,4,474,506,59,1,11
2020,784,399.0,3,404,430,36,3,17
