,Год,Статья,Название,Всего осуждено,Пожизненное лишение свободы,Лишение свободы,Условное осуждение к лишению свободы,Арест,Ограничение свободы,"Ограничение свободы/ограничение по военной службе, содержание в дисциплинарной воинской части",Исправительные работы,Обязательные работы,Принудительные работы,Штраф,Лишение права занимать определенные должности или заниматься определенной деятельностью,Условное осуждение к иным мерам,Содержание в дисциплинарной воинской части,Ограничение по военной службе,из числа осужденных имеется коррупционный мотив,Лишение свободы: количество осужденных по срокам до 1 года включительно,Лишение свободы: количество осужденных по срокам свыше 1 до 2 лет включительно,Лишение свободы: количество осужденных по срокам свыше 1 до 3 лет включительно,Лишение свободы: количество осужденных по срокам свыше 2 до 3 лет включительно,Лишение свободы: количество осужденных по срокам свыше 3 до 5 лет включительно,Лишение свободы: количество осужденных по срокам свыше 5 до 8 лет включительно,Лишение свободы: количество осужденных по срокам свыше 8 до 10 лет включительно,Лишение свободы: количество осужденных по срокам свыше 10 до 15 лет включительно,Лишение свободы: количество осужденных по срокамсвыше 15 до 20 лет включительно,Наказание назначено ниже низшего предела: лишение свободы,Штраф (основное наказание): количество осужденных по размеру штрафа до 5 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 5 тыс. до 25 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 25 тыс. до 100 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 25 тыс. до 500 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 100 тыс. до 300 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 300 тыс. до 500 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше  500 тыс. до 1 млн руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 1 млн руб.,Общая сумма штрафов,Освобождено от наказания Освобождено от наказания: по амнистии,Освобождено от наказания Освобождено от наказания: по другим основаниям: от лишения свободы,Освобождено от наказания Освобождено от наказания: по другим основаниям: от иных мер или наказание не назначалось,Оправдано,"Прекращено за отсутствием события, состава, непричастностью к преступлению",Прекращено по амнистии,Прекращено за примирением с потерпевшим,Прекращено в связи с деятельным раскаянием,Прекращено судебный штраф,Прекращено по другим основаниям,Прекращено по другим основаниям: на основании примечаний к статьям УК РФ (в связи с деятельным раскаянием ч. 2 ст. 28 УПК РФ),Судебный штраф: количество осужденных по размеру штрафа до 5 тыс. руб.,Судебный штраф: количество осужденных по размеру штрафа свыше 5 тыс. до 25 тыс. руб.,Судебный штраф: количество осужденных по размеру штрафа свыше 25 тыс. до 100 тыс. руб.,Судебный штраф: количество осужденных по размеру штрафа свыше 100 тыс. руб.,Судебный штраф: общая сумма,Принудительные меры к невменяемым,Дополнительное наказание: лишение права занимать определенные должности или заниматься определенной деятельностью,Дополнительное наказание: штраф,"Дополнительное наказание: лишение специального, воинского или почетного звания, классного чина и государственных наград",Дополнительное наказание: ограничение свободы,Штраф (дополнительное наказание): количество осужденных по размеру штрафа до 5 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 5 тыс. до 25 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 25 тыс. до 500 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 25 тыс. до 100 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 100 тыс. до 300 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 300 тыс. до 500 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше  500 тыс. до 1 млн руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 1 млн руб.,Штраф (дополнительное наказание): общая сумма,"Преступление не является оконченным (приготовление, покушение)","Обстоятельства, исключающие преступность: необходимая оборона","Обстоятельства, исключающие преступность: крайняя необходимость","Обстоятельства, исключающие преступность, предусмотренные статьями 38, 40 - 42 УК РФ",Доп. квалификация: осуждено по числу лиц,Доп. квалификация: осуждено по количеству составов преступлений,Доп. квалификация: оправдано по числу лиц,Доп. квалификация: оправдано по количеству составов преступлений,Доп. квалификация: прекращено по числу лиц,Доп. квалификация: прекращено по количеству составов преступлений,Доп. квалификация: прекращено по иным основаниям по числу лиц,Доп. квалификация: прекращено по иным основаниям по количеству составов преступлений,Доп. квалификация: признано невменяемыми по числу лиц,Доп. квалификация: признано невменяемыми по количеству составов преступлений,Освобождено от наказания по другим основаниям/от лишения свободы,Освобождено от наказания по другим основаниям/от иных мер,Освобождено от наказания по амнисти/от лишения свободы,Освобождено от наказания по амнистии/от иных мер,"Освобождено от наказания в связи с зачетом срока содержания под стражей, домашнего ареста/от лишения свободы","Освобождено от наказания в связи с зачетом срока содержания под стражей, домашнего ареста/от иных мер",Принудительные меры медицинского характера в отношении невменяемого дополнительная квалификация по судебным постановлениям по количеству составов преступлений
1,2010,132ч.3,Те же деяния при особо отягчающих обстоятельствах,431,0,404,27,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,3,,14.0,,83,110,134,60,0,48,,,,,,,,,,0.0,0.0,0.0,3,0,0,0,0,,3,0.0,,,,,,31,3.0,0.0,0.0,12.0,,,,,,,,,,,,,,129,366.0,,,,,,,,,,,,,,,
2,2010,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если они повлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",340,0,318,22,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,1,,10.0,,21,63,12,198,13,26,,,,,,,,,,0.0,0.0,0.0,1,0,0,0,0,,1,0.0,,,,,,52,10.0,0.0,0.0,40.0,,,,,,,,,,,,,,38,164.0,,,,,,,,,,,,,,,
3,2011,132ч.3,Те же деяния при особо отягчающих обстоятельствах,253,0,235,17,0.0,0.0,,0,0,,0,0,0,0.0,0.0,1.0,0,9.0,,9.0,41,58,86,32,0,43,0.0,0.0,,0.0,,,0.0,0.0,,0.0,1.0,0.0,0,0,0,0,0,,2,0.0,,,,,,7,8.0,0.0,0.0,58.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,187,352.0,,,,,,,,,,,,,,,
4,2011,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если ониповлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",545,0,522,22,0.0,0.0,,1,0,,0,0,0,0.0,0.0,0.0,0,7.0,,8.0,26,93,19,341,28,83,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,1,1,0,0,0,,2,0.0,,,,,,54,34.0,0.0,0.0,189.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,100,445.0,,,,,,,,,,,,,,,
5,2012,132ч.3,Те же деяния при особо отягчающих обстоятельствах,131,0,127,4,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,1,0.0,,0.0,23,28,59,16,0,23,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,1,0,0,0,0,,0,0.0,,,,,,4,2.0,0.0,0.0,57.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,127,245.0,,,,,,,,,,,,,,,
6,2012,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если ониповлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",384,0,369,14,0.0,1.0,,0,0,,0,0,0,0.0,0.0,0.0,1,5.0,,7.0,22,69,9,246,10,79,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,7,0,0,0,0,,4,0.0,,,,,,47,19.0,0.0,0.0,201.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,92,415.0,,,,,,,,,,,,,,,
7,2012,132ч.5,"Деяния, предусмотренные пунктом ""б"" части четвертой, совершенные лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",0,0,0,0,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,0.0,,0.0,0,0,0,0,0,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,0,0.0,,,,,,,,,,,,,,,
8,2013,132ч.3,Те же деяния при особо отягчающих обстоятельствах,157,0,154,6,0.0,0.0,,0,0,,0,0,0,0.0,0.0,,0,1.0,,4.0,32,41,59,17,0,31,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,8,0,0,0,0,,1,0.0,,,,,,8,8.0,0.0,1.0,78.0,0.0,0.0,0.0,,,,0.0,0.0,,13.0,0.0,0.0,0.0,163,368.0,,,,,,,,,,,,,,,
9,2013,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если ониповлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",748,0,737,6,0.0,2.0,,0,0,,1,0,0,0.0,0.0,,5,11.0,,21.0,44,169,40,430,18,215,0.0,0.0,,1.0,,,0.0,0.0,,0.0,2.0,0.0,33,0,0,0,0,,7,0.0,,,,,,94,44.0,0.0,1.0,458.0,0.0,0.0,0.0,,,,0.0,0.0,,16.0,0.0,0.0,0.0,104,1022.0,,,,,,,,,,,,,,,
11,2014,132ч.3,Те же деяния при особо отягчающих обстоятельствах,226,0,217,9,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,4.0,,3.0,22,63,103,22,0,23,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,6,3.0,0.0,0.0,99.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,163,376.0,,,,,,,,,,,,,,,
